"customer.customerid","customer.dominant_gender","customer.dominant_size","customer.last_purchase_date"
"10373051","Femme","36","2015-11-01 17:35:05.0"
"10379096","Femme","37","2015-11-01 21:41:01.0"
"10379954","Femme","37","2015-11-01 19:58:04.0"
"10381199","Enfant","29","2015-11-01 21:17:05.0"
"10382057","Femme","38","2015-11-01 20:23:04.0"
"10388227","Homme","42","2015-11-01 14:52:14.0"
"10395309","Femme","39","2015-11-01 11:13:00.0"
"10401751","Femme","39","2015-11-01 09:30:04.0"
"10402373","Femme","41","2015-11-01 21:19:18.0"
"10403804","Enfant","30","2015-11-01 15:40:03.0"
"10406553","Femme","40","2015-11-01 08:39:17.0"
"10407387","Femme","39","2015-11-01 20:31:07.0"
"10407531","Homme","44","2015-11-01 21:05:19.0"
"10407937","Enfant","23 - 24","2015-11-01 22:17:05.0"
"10411033","Femme","T.U","2015-11-01 16:51:01.0"
"10415379","Enfant","30","2015-11-01 10:55:08.0"
"10422113","Femme","38","2015-11-01 23:38:16.0"
"10423597","Femme","36","2015-11-01 17:43:12.0"
"10428518","Homme","42","2015-11-01 17:08:15.0"
"10430676","Sacs","T.U","2015-11-01 12:01:10.0"
"10431473","Sacs","T.U","2015-11-01 19:16:18.0"
"10432841","Femme","38","2015-11-01 18:05:06.0"
"10433817","Femme","39","2015-11-01 20:43:01.0"
"10433943","Femme","39","2015-11-01 09:13:06.0"
"10439208","Enfant","34","2015-11-01 13:13:18.0"
"10441973","Femme","38","2015-11-01 15:31:12.0"
"10447150","Femme","41 1/3","2015-11-01 10:05:05.0"
"10448966","Femme","40","2015-11-01 21:26:01.0"
"10457496","Femme","37","2015-11-01 12:59:02.0"
"10458722","Sacs","T.U","2015-11-01 10:07:19.0"
"10461238","Femme","35","2015-11-02 10:42:20.0"
"10461462","Femme","T.U","2015-11-01 16:10:17.0"
"10463601","Femme","40","2015-11-01 21:00:08.0"
"10473061","Femme","38","2015-11-01 14:54:02.0"
"10473591","Femme","36","2015-11-01 18:54:09.0"
"10473603","Homme","44","2015-11-01 14:22:17.0"
"10478299","Femme","38","2015-11-01 17:27:11.0"
"10478722","Femme","38","2015-11-01 21:25:02.0"
"10479066","Femme","38","2015-11-01 21:36:02.0"
"10482248","Homme","42","2015-11-01 16:03:05.0"
"10486284","Femme","38","2015-11-01 18:37:12.0"
"10486700","Homme","41","2015-11-01 19:14:19.0"
"10491578","Femme","36","2015-11-01 20:13:10.0"
"10492325","Femme","40","2015-11-01 12:08:14.0"
"10492942","Femme","37","2015-11-01 08:36:19.0"
"10501517","Femme","38","2015-11-01 20:03:19.0"
"10502883","Femme","38","2015-11-01 15:25:18.0"
"10504599","Femme","40","2015-11-01 18:09:15.0"
"10505261","Femme","37","2015-11-01 14:54:09.0"
"10509563","Femme","41","2015-11-01 08:15:12.0"
"10509926","Femme","37 1/3","2015-11-01 11:12:16.0"
"10518484","Femme","37 1/2","2015-11-01 17:44:05.0"
"10519911","Enfant","42","2015-11-01 13:49:04.0"
"10525982","Femme","38","2015-11-01 23:05:09.0"
"10527782","Femme","41 1/2","2015-11-01 13:48:16.0"
"10530323","Femme","39 1/2","2015-11-01 16:29:06.0"
"10531907","Femme","40","2015-11-01 21:23:08.0"
"10532600","Homme","42","2015-11-01 16:40:05.0"
"10542869","Femme","37","2015-11-01 17:44:07.0"
"10543429","Femme","38","2015-11-01 10:49:07.0"
"10544899","Accessoires","T.U","2015-11-01 16:29:16.0"
"10546216","Femme","41","2015-11-01 23:36:01.0"
"10546386","Femme","38","2015-11-01 21:30:16.0"
"10546812","Femme","36","2015-11-01 19:27:02.0"
"10547010","Femme","40","2015-11-01 20:28:10.0"
"10554142","Homme","47","2015-11-01 20:19:01.0"
"10556382","Enfant","38","2015-11-01 17:46:13.0"
"10558712","Homme","T.U","2015-11-01 15:41:04.0"
"10562059","Femme","42","2015-11-01 19:24:19.0"
"10564358","Femme","37","2015-11-01 17:36:16.0"
"10567001","Femme","39","2015-11-01 12:45:07.0"
"10575091","Homme","40","2015-11-01 13:58:17.0"
"10576194","Femme","41 1/2","2015-11-01 12:23:15.0"
"10584422","Homme","43","2015-11-01 22:29:02.0"
"10589641","Femme","38","2015-11-01 17:16:07.0"
"10590083","Femme","38","2015-11-01 20:59:05.0"
"10592041","Accessoires","40","2015-11-01 14:28:08.0"
"10592952","Femme","41","2015-11-01 22:06:00.0"
"10593663","Femme","38","2015-11-01 20:53:15.0"
"10594006","Enfant","31 1/2","2015-11-01 12:14:19.0"
"10595077","Homme","45","2015-11-01 12:37:13.0"
"10597140","Homme","42","2015-11-01 15:09:08.0"
"10598916","Homme","44","2015-11-01 15:45:19.0"
"10599544","Homme","39","2015-11-01 22:14:08.0"
"10604889","Femme","39","2015-11-01 07:45:19.0"
"10605545","Homme","43","2015-11-01 17:40:03.0"
"10607453","Femme","38","2015-11-01 21:16:18.0"
"10609152","Femme","38","2015-11-01 19:10:08.0"
"10613650","Femme","42","2015-11-01 14:42:18.0"
"10619186","Femme","39","2015-11-01 19:56:11.0"
"10625140","Homme","46","2015-11-01 20:22:15.0"
"10631494","Enfant","39","2015-11-01 17:45:14.0"
"10636225","Femme","38","2015-11-01 16:13:01.0"
"10639450","Femme","41","2015-11-01 17:59:12.0"
"10645631","Homme","42","2015-11-01 22:04:05.0"
"10648872","Femme","37","2015-11-01 23:11:06.0"
"10648907","Accessoires","T.U","2015-11-01 18:01:13.0"
"10650666","Femme","39","2015-11-01 18:15:18.0"
"10653637","Enfant","28","2015-11-01 12:59:11.0"
"10655251","Homme","41","2015-11-01 12:16:10.0"
"10659417","Femme","36","2015-11-01 09:32:00.0"
"10662407","Femme","39","2015-11-01 21:13:02.0"
"10669221","Enfant","39","2015-11-01 18:33:18.0"
"10672952","Femme","41","2015-11-01 15:54:14.0"
"10674615","Homme","44","2015-11-01 19:27:06.0"
"10681474","Femme","38","2015-11-01 19:59:05.0"
"10687086","Homme","42","2015-11-01 16:11:07.0"
"10690190","Homme","42","2015-11-01 12:13:03.0"
"10691058","Femme","39","2015-11-01 21:25:14.0"
"10693787","Femme","39","2015-11-01 10:20:10.0"
"10695096","Femme","37","2015-11-01 17:52:03.0"
"10703509","Homme","43","2015-11-01 13:27:02.0"
"10707932","Homme","42","2015-11-01 19:35:15.0"
"10708398","Femme","40","2015-11-01 18:23:08.0"
"10709295","Femme","40","2015-11-01 21:20:16.0"
"10709413","Femme","38","2015-11-01 19:02:08.0"
"10711572","Femme","40","2015-11-01 11:52:13.0"
"10712633","Femme","38","2015-11-01 18:33:14.0"
"10713657","Femme","39","2015-11-01 14:08:16.0"
"10715621","Femme","40","2015-11-01 22:26:04.0"
"10720703","Femme","39","2015-11-01 21:13:07.0"
"10723248","Femme","40","2015-11-01 21:50:14.0"
"10728717","Femme","42","2015-11-01 07:13:11.0"
"10729097","Femme","35","2015-11-01 13:49:15.0"
"10729186","Femme","36","2015-11-01 16:44:15.0"
"10729274","Enfant","26","2015-11-01 22:47:12.0"
"10729910","Homme","44","2015-11-01 14:59:07.0"
"10731841","Femme","40","2015-11-01 17:17:06.0"
"10733453","Femme","41","2015-11-01 16:19:13.0"
"10733736","Femme","38","2015-11-01 18:58:00.0"
"10734774","Femme","42","2015-11-01 11:13:01.0"
"10735461","Femme","36","2015-11-01 10:39:08.0"
"10737054","Homme","45 1/3","2015-11-01 19:13:12.0"
"10741384","Femme","39","2015-11-01 16:18:19.0"
"10744219","Homme","41","2015-11-01 21:34:02.0"
"10744386","Accessoires","39 - 41","2015-11-01 18:39:16.0"
"10745699","Femme","36","2015-11-01 09:18:01.0"
"10746703","Femme","39","2015-11-01 10:56:05.0"
"10751089","Homme","43","2015-11-01 02:17:13.0"
"10751733","Femme","41","2015-11-01 19:48:07.0"
"10755028","Enfant","32","2015-11-01 14:10:08.0"
"10755191","Femme","38","2015-11-01 09:47:03.0"
"10756520","Femme","39","2015-11-01 22:02:18.0"
"10756582","Homme","43","2015-11-01 12:31:02.0"
"10760492","Enfant","40","2015-11-01 09:18:15.0"
"10762022","Homme","41","2015-11-01 14:52:17.0"
"10764486","Homme","41","2015-11-01 20:21:03.0"
"10768254","Homme","43","2015-11-01 09:28:13.0"
"10768713","Femme","38","2015-11-01 17:19:10.0"
"10772641","Femme","39","2015-11-01 12:28:16.0"
"10773747","Femme","40","2015-11-01 22:53:11.0"
"10775165","Femme","38 1/2","2015-11-01 09:22:02.0"
"10780197","Homme","41","2015-11-01 15:41:19.0"
"10782988","Femme","39 1/2","2015-11-01 10:35:05.0"
"10788162","Femme","T.U","2015-11-01 02:27:07.0"
"10796967","Homme","45","2015-11-01 09:54:17.0"
"10799099","Enfant","30","2015-11-01 00:41:13.0"
"10801160","Femme","38","2015-11-01 13:57:10.0"
"10802075","Homme","44","2015-11-01 17:54:04.0"
"10804475","Homme","42 1/2","2015-11-01 20:12:04.0"
"10804846","Homme","43","2015-11-01 21:56:09.0"
"10804950","Femme","41","2015-11-01 18:52:17.0"
"10805319","Homme","43","2015-11-01 20:50:06.0"
"10812106","Femme","38","2015-11-01 20:39:08.0"
"10814093","Enfant","39","2015-11-01 11:20:15.0"
"10816835","Femme","37 1/2","2015-11-01 15:26:11.0"
"10818900","Femme","39","2015-11-01 14:35:16.0"
"10819215","Femme","38","2015-11-01 23:07:11.0"
"10819790","Homme","40","2015-11-01 18:24:05.0"
"10821041","Femme","36","2015-11-01 09:50:07.0"
"10823317","Femme","39","2015-11-01 08:34:08.0"
"10829557","Femme","39","2015-11-01 16:56:16.0"
